Categoria,Frequência Absoluta,Frequência Relativa (%)
Ecopontos Publicos / Rua / Espaços publicos;,10,20.833
Ecopontos Publicos / Rua / Espaços publicos/Edificio Laboral / Escolas / Universidades;,9,18.75
Edificio Laboral / Escolas / Universidades;,4,8.333
Ecopontos Publicos / Rua / Espaços publicos/Edifício Laboral / Escolas / Universidades;,4,8.333
Edificio Laboral / Escolas / Universidades/Lojas / Supermercados;,3,6.25
Ecopontos Publicos / Rua / Espaços publicos/Edificio Laboral / Escolas / Universidades/Lojas / Supermercados;,3,6.25
Ecopontos Publicos / Rua / Espaços públicos/Edificio Laboral / Escolas / Universidades;,2,4.167
Ecopontos Publicos / Rua / Espaços publicos/Edifício Laboral / Escolas / Universidades/Lojas / Supermercados;,2,4.167
Ecopontos Publicos/ Rua / Espaços publicos;,1,2.083
Ecopontos Publicos / Rua / Espaços públicos/Edifício Laboral / Escolas / Universidades/Lojas / Supermercados/Levo o lixo para casa para reciclar;,1,2.083
Edificio Laboral / Escolas / Universidades/Ecopontos Públicos / Rua / Espaços públicos/Lojas / Supermercados/Levo o lixo para casa para reciclar;,1,2.083
Lojas / Supermercados/Edificio Laboral / Escolas / Universidades/Ecopontos Públicos / Rua / Espaços públicos;,1,2.083
Ecopontos Publicos / Rua / Espaços publicos/Levo o lixo para casa para reciclar;,1,2.083
Ecopontos Publicos / Rua / Espaços publicos/Edificio Laboral / Escolas / Universidades/Levo o lixo para casa para reciclar;,1,2.083
Edificio Laboral / Escolas / Universidades/Ecopontos Publicos / Rua / Espaços publicos;,1,2.083
Edificio Laboral / Escolas / Universidades/Ecopontos Publicos / Rua / Espaços públicos;,1,2.083
Edificio Laboral / Escolas / Universidades/Ecopontos Publicos / Rua / Espaços publicos/Lojas / Supermercados;,1,2.083
Lojas / Supermercados;,1,2.083
Ecopontos Publicos / Rua / Espaços publicos/Edificio Laboral / Escolas / Universidades/Lojas / Supermercados/Levo o lixo para casa para reciclar;,1,2.083
TOTAL,48,100.0
