Categoria,Frequência Absoluta,Frequência Relativa (%)
Indiferenca / falta de motivacao;,5,31.25
Indiferenca / falta de motivacao,2,12.5
Falta de contentores ou infraestrutura adequada;,2,12.5
Falta de tempo;,2,12.5
Falta de tempo;Falta de contentores ou infraestrutura adequada;Indiferenca / falta de motivacao;,1,6.25
Indiferença / falta de motivaçao;,1,6.25
Desconhecimento sobre reciclagem;Falta de contentores ou infraestrutura adequada;,1,6.25
Falta de tempo;Indiferenca / falta de motivao;,1,6.25
Indiferenca / falta de motivacao;Falta de tempo;,1,6.25
TOTAL,16,100.0
